,cifar10,,,,,,,,,,,cifar100,,,,,,,,,,,imagenet,,,,,,,,,,,,fashionmnist,,,,,,,,,,,
,cifar100,mnist,places365,svhn,texture,tin,ssb_hard,ninco,inaturalist,textures,openimage_o,cifar10,mnist,places365,svhn,texture,tin,ssb_hard,ninco,inaturalist,textures,openimage_o,cifar10,cifar100,mnist,places365,svhn,texture,tin,ssb_hard,ninco,inaturalist,textures,openimage_o,cifar10,cifar100,mnist,places365,svhn,texture,tin,ssb_hard,ninco,inaturalist,textures,openimage_o
Openmax,0.906746328,0.939439356,0.911614954,0.933085263,0.927048028,0.896626413,0.825266004,0.915227175,0.900690675,0.928430617,0.913573325,0.773960829,0.813030362,0.837699056,0.937148809,0.87382555,0.811067939,0.756025672,0.784011006,0.772176504,0.875672102,0.792282939,0.981245995,0.967686892,0.958929837,0.825171113,0.976333737,0.879476428,0.907277226,0.736648202,0.810376942,0.936543941,0.896476507,0.8833884,0.921779156,0.90607357,0.936455131,0.916997135,0.917546868,0.922153413,0.903356791,0.917137444,0.915719569,0.940841079,0.922660232,0.908061326
MCD,0.884688735,0.928776383,0.883043766,0.903098345,0.872127473,0.869301081,0.801417589,0.885819077,0.853882194,0.873647094,0.878740609,0.765095353,0.817753673,0.764010191,0.681862831,0.711561143,0.795048118,0.75683713,0.768947124,0.7658602,0.710295975,0.7383461,0.829430819,0.856321216,0.897929668,0.793979287,0.977011859,0.804643452,0.791612864,0.7215662,0.799695134,0.884167969,0.824715257,0.849762857,0.860345006,0.868777752,0.856491625,0.89166081,0.938543677,0.867673934,0.884266376,0.877449512,0.878284812,0.890649796,0.865893662,0.886711538
ODIN,0.659077883,0.885751009,0.677017212,0.942433655,0.724394798,0.632746935,0.58847791,0.655189216,0.504646838,0.725866556,0.620777249,0.595469832,0.827161133,0.63006109,0.815143228,0.642696142,0.627270818,0.60565269,0.644837856,0.546539664,0.643119812,0.621369123,0.987431109,0.978498638,0.965609193,0.646705747,0.997959256,0.708644748,0.836377203,0.675728858,0.690960169,0.742721558,0.720866442,0.713868976,0.575171292,0.593289018,0.556592941,0.615331888,0.89007026,0.609363079,0.598279357,0.608839571,0.618904769,0.472318262,0.610505044,0.575537801
Mahalanobis,0.827647626,0.943799496,0.83915329,0.956423581,0.967784882,0.826190233,0.763724804,0.854617715,0.864598572,0.968271077,0.900268614,0.665073991,0.733523488,0.701287389,0.852097511,0.898383796,0.740438819,0.714618623,0.72874701,0.756279826,0.902034521,0.747299254,0.823270798,0.804483891,0.882481337,0.582467794,0.72914505,0.899545074,0.807234526,0.479084045,0.62068969,0.611834288,0.897828519,0.705397427,0.994593084,0.994408369,0.972153544,0.993493617,0.998983264,0.997457325,0.993324161,0.994747877,0.994013309,0.996257842,0.99765116,0.994362414
EnergyBased,0.872484267,0.974446297,0.901125968,0.915518641,0.854192615,0.865948856,0.784226239,0.875612557,0.81513983,0.852925837,0.869336247,0.771504879,0.939245284,0.781983614,0.724946737,0.762041807,0.806292295,0.756382525,0.786489248,0.741620541,0.760519564,0.74100548,0.851341724,0.867755651,0.967896342,0.824477434,0.98352313,0.867350757,0.809727609,0.723452926,0.796960473,0.905928731,0.887261868,0.89140749,0.913177311,0.923533797,0.793158531,0.94030571,0.98303926,0.914417505,0.932551444,0.930906653,0.929045081,0.936208904,0.913126349,0.934035242
Entropy,0.882836044,0.940487683,0.889016151,0.925499082,0.889032185,0.86961025,0.790762663,0.884118617,0.84962815,0.889426053,0.878727555,0.764485061,0.863737702,0.773011923,0.717013717,0.749305427,0.801656604,0.75900805,0.779824257,0.779044986,0.747863233,0.753734887,0.85715735,0.881398082,0.943849325,0.814257503,0.986359656,0.832271218,0.814585209,0.730686963,0.817987204,0.910333931,0.853402436,0.877830863,0.856907904,0.866881847,0.817617655,0.889960885,0.942666113,0.869677424,0.882082641,0.875844359,0.876490772,0.881154239,0.868815601,0.883235097
MaxLogit,0.872833669,0.972639978,0.900397182,0.915799081,0.855476856,0.86582166,0.784381032,0.875753701,0.816501677,0.854305804,0.869634271,0.773156941,0.931526542,0.783307016,0.725497723,0.762712419,0.807834983,0.758291483,0.787779927,0.74721396,0.76129961,0.743682146,0.856756926,0.873197377,0.960716963,0.826363802,0.98548156,0.864018798,0.813793123,0.727480412,0.804043412,0.911332965,0.884116888,0.892495275,0.912194133,0.922552109,0.793182731,0.939388275,0.982407629,0.913488269,0.931629717,0.929917157,0.928067088,0.935147822,0.912196159,0.93314296
KML,0.837709725,0.909436047,0.849526644,0.888764858,0.856313944,0.833544612,0.747157633,0.8446064,0.768853486,0.857848644,0.834258437,0.744462013,0.860227108,0.757915854,0.738621116,0.754125953,0.786341786,0.74847424,0.767286539,0.768864155,0.752580702,0.743820786,0.877333343,0.88946557,0.914918065,0.788365781,0.973685384,0.823923171,0.823319376,0.686045527,0.798231244,0.89538908,0.840737045,0.859776318,0.71281749,0.73845011,0.643446624,0.790248275,0.918411613,0.771605611,0.774860859,0.752648354,0.758749604,0.765756965,0.77116257,0.777842879
ViM,0.830296814,0.898327768,0.835354686,0.916147828,0.921337545,0.821531117,0.781763852,0.861850798,0.860883236,0.921570837,0.879940748,0.694999397,0.86063385,0.711356819,0.818134844,0.888935447,0.771366537,0.73322624,0.773913145,0.753195584,0.891150892,0.728021145,0.94343853,0.942596018,0.958901763,0.775211215,0.950963974,0.918193102,0.872066498,0.638255835,0.775290608,0.872250438,0.925080478,0.870500326,0.960587025,0.962281048,0.809263229,0.968381107,0.992215395,0.976894319,0.966462076,0.965793669,0.968567908,0.974379599,0.977119923,0.970324874
MSP,0.879457951,0.932629108,0.884406149,0.920806646,0.885739267,0.865804553,0.788417518,0.880461514,0.84771502,0.886142313,0.87512666,0.750957012,0.830375075,0.758536935,0.700234532,0.734125555,0.784054399,0.744823277,0.763670564,0.771339297,0.732646108,0.742081165,0.829430819,0.856321216,0.897929668,0.793979228,0.977011859,0.804643512,0.791611671,0.721566558,0.799695253,0.884167969,0.824715495,0.849762917,0.847218156,0.857802987,0.805201054,0.883632421,0.939028025,0.862452507,0.874566972,0.868660986,0.8685745,0.875357926,0.861517787,0.876350999
KNN,0.883395791,0.924651802,0.899309516,0.926126719,0.91190958,0.875290096,0.802725375,0.886038005,0.840016007,0.912874639,0.894473255,0.715274155,0.674227834,0.709646583,0.832863033,0.797305465,0.783750534,0.749581873,0.752043605,0.733820558,0.79986167,0.714378178,0.713692963,0.71021229,0.698267579,0.617489815,0.641956747,0.609442413,0.701293826,0.553500354,0.638087571,0.564661324,0.614915192,0.603513658,0.977128386,0.976988256,0.98380065,0.978520393,0.99447602,0.981164098,0.977166891,0.977230966,0.977414787,0.977554083,0.98138392,0.979467928
